id,title,subtitle,description,links,quadrant,keywords
41cab09704941333117d8ce3ef04913d,systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,anil - l'evolution de la monnaie,https://www.youtube.com/watch?v=N1AQY_aGHVQ, comment bitcoin change societe,"monnaie, monnaies, une, bitcoin, numérique, fiat, musique, dollar, le, dépôts, mondiale, rareté, votre, argent, banque, banques, bien, caractéristiques, extraction, financier, grains, liquide, monétaires, métal, numériques, pas, réserve, technologie, transactions, valeur"
67e65a5015793937016c02f14eaab38b,systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,anil - la convergence vers une monnaie unique...pourquoi ?,https://www.youtube.com/watch?v=-3W2wd7wZ-I, comment bitcoin change societe,"une, monnaies, articles, barrières, bien, monétaire, 1750, 500, abonnez, auditables, bitcoin, changes, commerce, communication, connaissons, contre, efficacement, en, entre, financier, fois, gouvernements, généralement, international, internet, marché, merci, mondiale, monnaie, régulièrement"
b06ec60600e4cf6b233f238fc6302cdb,systemes monetaires,2. defaillances de notre monnaie et superiorite de bitcoin,yorick de mombynes (2022). faut-il reinventer la monnaie ?,https://www.youtube.com/watch?v=CVqcrWsckns, comment bitcoin change societe,"bitcoin, monnaie, une, inflation, être, bien, pas, économie, fait, financement, le, monétaire, numérique, technologie, votre, arbitraire, argent, autre, avoir, beacon, beaucoup, capitalisme, censure, censurer, concerne, contre, crypto, cryptographique, dans, décentralisée"
e19de3482fe13378989d9bc362b91fd3,systemes monetaires,2. defaillances de notre monnaie et superiorite de bitcoin,alexandre stachtchenko (2022). quel avenir pour bitcoin ? liber-the,https://www.youtube.com/watch?v=qDRqbG-VLDM, comment bitcoin change societe,"une, pas, bitcoin, le, monnaie, pourquoi, fait, être, argent, ce, entre, liberté, banque, monétaire, votre, inflation, peut, banques, bien, crypto, dans, fraude, globalement, histoire, confidentialité, contre, contrôle, effectivement, est, musique"
11c17fdf8c849efcfe21a44c5f1b85c3,systemes monetaires,2. defaillances de notre monnaie et superiorite de bitcoin,decouvre bitcoin (2020). pourquoi le bitcoin est-il si important ?!,https://www.youtube.com/watch?v=Iq0wZF3Ui9A&list=PLinTFKehfR4yOM86i_sWI3EwWaI6CSOPm&t=418s, comment bitcoin change societe,"une, votre, pas, argent, bitcoin, coup, inflation, être, le, bien, pourquoi, avoir, bitcoins, cash, ce, digital, exactement, fait, liberté, monnaie, protocole, qui, vous, écosystème, argentine, baguette, bancaire, bancaires, banque, banques"
004b0d9c27a4ddf60edc3998aa511f10,systemes monetaires,2. defaillances de notre monnaie et superiorite de bitcoin,decouvre bitcoin (2022). l'hyperinflation,https://www.youtube.com/watch?v=cYKmgflsy_8, comment bitcoin change societe,"une, inflation, pas, monnaie, hyperinflation, le, pourquoi, votre, argent, qui, bien, bitcoin, coup, euros, fait, merci, monétaire, bientôt, français, hyper, être, 60, allemande, allés, argentine, arrête, augmenté, autre, bancaire, blé"
e0f3bbaf0e90320ba311a0219ff495de,systemes monetaires,"3. monnaie, preference temporelle, et investissements",richard (2022). runaway [orange pill edition],https://www.youtube.com/watch?v=YkxopBlMWLw&list=PLj9lDruPFtBljCFcLcoD3bd5pGUGmHZWV&index=7, comment bitcoin change societe,"away, compulsion, consent, father, governments, laws, run, satoshi, trading, wiped"
cb222da6060d067f9510c890695eb8e3,systemes monetaires,4. bitcoin revolutionne la comptabilite,lawrence lepard (2021). bitcoin is more sound than gold due to triple entry accounting,https://www.youtube.com/watch?v=I0R28DXrmb8, comment bitcoin change societe,
5cd4dca6790d9e566f6328b200f957ff,changement de paradigme,2. changement de paradigme,anil (2022). changement de paradigmes,https://www.youtube.com/watch?v=knHmXzW2LQM, comment bitcoin change societe,
46f77b375b1a5fa0de16473f69db6a4d,changement de paradigme,2. changement de paradigme,anil (2022). bitcoin et l'imprimerie (version courte),https://www.youtube.com/watch?v=25yfsPIegmo, comment bitcoin change societe,"une, innovation, bitcoin, confiance, financière, innovants, institutions, mouvement, musique, population, technologie, économique, émergence, 1315, 1317, accès, alphabétisati, autorité, catholicisme, catholique, chumpeter, comportement, connaissances, constitue, contre, corruption, covid, cryptage, cryptographie, culture"
