id,title,subtitle,description,links,quadrant,keywords
f0c8e634847a4a477c9ba91192fe620c,systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,yorick de mombynes (2022). depolitiser la monnaie,https://www.youtube.com/watch?v=DX8JorPfXn4, comment bitcoin change societe,"une, monnaie, politique, bitcoin, pas, économie, économistes, politiques, monétaire, capitalisme, contre, fait, justement, économique, état, capital, crises, crypto, dans, finance, investissement, politisation, résistante, bien, civilisation, en, entre, expansionnisme, financier, financiers"
4b99c1e5ae3b1a8df0df4e91b8e9ac35,systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,f. a. hayek (1984). an interview with f.a. hayek. original edition,https://www.youtube.com/watch?v=s-k_Fc63tZI, comment bitcoin change societe,"money, governments, banks, economist, government, inflation, monetary, coins, currency, depreciation, gold, hayek, accounts, countries, investment, investments, theory, war, bankers, civilization, crisis, currencies, debt, deficit, deficits, economics, market, mismanagement, policy, political"
4e79e1b9519804a4357a6eac81e83a43,systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,academie decouvre bitcoin (2022). les monnaies fiduciaires,https://www.youtube.com/watch?v=1hOrDrmT27g&t=1s, comment bitcoin change societe,"une, pas, monnaie, pourquoi, votre, inflation, qui, bitcoin, ce, le, monétaire, banques, histoire, argent, bien, changement, dans, dollar, dollars, fait, vous, état, être, banque, bonne, contrôle, coup, est, euro, français"
35ae6d034f8eb58dc63d5ebd6f17bb0f,systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,"khazzaka, herlin et choueffaty (2022). les mdbc : risques ou opportunites ? surfin'22",https://www.youtube.com/watch?v=mo3kRRsQS_E, comment bitcoin change societe,"une, pas, banque, monnaie, centrale, le, banques, bitcoin, euro, fait, valeur, ce, euros, merci, autre, bien, pourquoi, qui, dans, paiement, être, contre, crypto, marché, monnaies, centrales, européenne, ailleurs, blockchain, numérique"
4c6547fdcf69d61f893e8a83fcfbd3df,systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,money files (2023). pourquoi l'euro numerique devrait vous terrifier.,https://www.youtube.com/watch?v=nRYrIyQWmi8, comment bitcoin change societe,"numérique, euro, une, pas, vous, contrôle, votre, centrale, centralisation, contre, dans, européenne, euros, monde, musique, transactions, vidéo, ailleurs, approuvra, automatiquement, avoir, banque, banques, bce, bientôt, bouton, cash, ce, centrales, changement"
e4b7f1257dcf8051f264bdd0eaf6ec9b,systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,pierre corbin (2022). the great reset and the rise of bitcoin,https://www.youtube.com/watch?v=xw9VshkgxJ4, comment bitcoin change societe,"bitcoin, bank, banks, financial, currency, governments, monetary, currencies, economy, money, debt, inflation, dollar, miners, crypto, gold, economic, energy, fiat, cryptocurrencies, market, cash, cryptocurrency, markets, mining, salvador, cpi, ethereum, growth, investor"
3759188ac01d8f16fa1b278b6b95ab0b,systemes monetaires,2. defaillances de notre monnaie et superiorite de bitcoin,paul tudor (2020). it's like investing early in a tech company. cnbc les defaillances de notre monnaie :,https://www.youtube.com/watch?v=D1LhLwA1EhE&t=8s, comment bitcoin change societe,"pas, une, le, bien, dans, ce, qui, fait, être, bitcoin, des, ouais, salvador, chine, gouvernement, chinois, entre, est, mining, vraiment, autre, bonne, centrale, demande, musique, oui, passé, surplus, vie, économistes"
fd3be3219b6ad2117d0af3d57eb7601d,systemes monetaires,2. defaillances de notre monnaie et superiorite de bitcoin,paul tudor (2020). bitcoin is maths and maths never fails les defaillances de notre monnaie :,https://www.youtube.com/shorts/_Nc_P-xTEic, comment bitcoin change societe,
62df00a0046e1bcce75ee9a3e56c2992,systemes monetaires,2. defaillances de notre monnaie et superiorite de bitcoin,stanley druckenmiller (2022). stanley druckenmiller talks about bitcoin. zurich crypto journal les defaillances de notre monnaie :,https://www.youtube.com/watch?v=EuyaqKZgezM, comment bitcoin change societe,
3131df02b68b9ed80c2c8819554785cd,systemes monetaires,2. defaillances de notre monnaie et superiorite de bitcoin,cryptojon (2022) la theorie maximaliste de bitcoin la superiorite de bitcoin :,https://www.youtube.com/watch?v=IrL_4bsU1I4, comment bitcoin change societe,"bitcoin, une, crypto, maximaliste, pas, monétaire, investisseurs, le, maximalisme, maximalistes, monnaie, système, systèmes, autre, avoir, billets, bitcoins, blocs, contre, crypte, digital, décentralisation, fait, forme, innovation, monnaies, pourquoi, protocole, rareté, tawkon"
